[2023-05-03 05:32:21,848] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.lang.Class -> org.hibernate.type.ClassType@4b3a45f1
[2023-05-03 05:32:21,850] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@20f12539
[2023-05-03 05:32:21,850] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@20f12539
[2023-05-03 05:32:21,851] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@3a3e4aff
[2023-05-03 05:32:21,852] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration binary -> org.hibernate.type.BinaryType@45e37a7e
[2023-05-03 05:32:21,852] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration byte[] -> org.hibernate.type.BinaryType@45e37a7e
[2023-05-03 05:32:21,852] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration [B -> org.hibernate.type.BinaryType@45e37a7e
[2023-05-03 05:32:21,854] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@488eb7f2
[2023-05-03 05:32:21,854] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@488eb7f2
[2023-05-03 05:32:21,854] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@488eb7f2
[2023-05-03 05:32:21,856] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration row_version -> org.hibernate.type.RowVersionType@320de594
[2023-05-03 05:32:21,856] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration image -> org.hibernate.type.ImageType@1a7288a3
[2023-05-03 05:32:21,858] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration characters -> org.hibernate.type.CharArrayType@aa549e5
[2023-05-03 05:32:21,858] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration char[] -> org.hibernate.type.CharArrayType@aa549e5
[2023-05-03 05:32:21,858] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration [C -> org.hibernate.type.CharArrayType@aa549e5
[2023-05-03 05:32:21,860] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@7b8233cd
[2023-05-03 05:32:21,860] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@7b8233cd
[2023-05-03 05:32:21,860] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@7b8233cd
[2023-05-03 05:32:21,861] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration text -> org.hibernate.type.TextType@1af146
[2023-05-03 05:32:21,862] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration ntext -> org.hibernate.type.NTextType@72758afa
[2023-05-03 05:32:21,863] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration blob -> org.hibernate.type.BlobType@3382f8ae
[2023-05-03 05:32:21,864] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@3382f8ae
[2023-05-03 05:32:21,864] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@4a891c97
